video,label,split,path
dwwytkheyx.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/dwwytkheyx.mp4
raccuygcih.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/raccuygcih.mp4
ihzrsqmrxi.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/ihzrsqmrxi.mp4
pfwrsyhcfm.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/pfwrsyhcfm.mp4
kinqjsgfum.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/kinqjsgfum.mp4
tpohuvtilk.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/tpohuvtilk.mp4
pbvohvjksz.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/pbvohvjksz.mp4
sinekahldk.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/sinekahldk.mp4
immsyyzjjq.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/immsyyzjjq.mp4
wdhhwfarpq.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/wdhhwfarpq.mp4
jecaylfurj.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/jecaylfurj.mp4
nqzoedoidj.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/nqzoedoidj.mp4
vgdlwfxlrq.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/vgdlwfxlrq.mp4
njqbwiajss.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/njqbwiajss.mp4
ulbuihipbv.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/ulbuihipbv.mp4
aodrcrvodk.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/aodrcrvodk.mp4
lspcvuaorl.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/lspcvuaorl.mp4
ooeejwslmx.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/ooeejwslmx.mp4
srgbuihjgq.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/srgbuihjgq.mp4
eixntxxxcl.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/eixntxxxcl.mp4
orjzhiztqm.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/orjzhiztqm.mp4
eufxjsolyv.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/eufxjsolyv.mp4
xngumtjmyj.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/xngumtjmyj.mp4
tambojjank.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/tambojjank.mp4
hcdyegkqzt.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/hcdyegkqzt.mp4
xucbeymshb.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/xucbeymshb.mp4
lgzclplvnt.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/lgzclplvnt.mp4
zcotdpusce.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/zcotdpusce.mp4
qzjpjnnjyr.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/qzjpjnnjyr.mp4
tuvlavlccd.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/tuvlavlccd.mp4
rnqtouthbt.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/rnqtouthbt.mp4
sfjsmbrsnu.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/sfjsmbrsnu.mp4
dcjvqpgjgd.mp4,FAKE,A1,/kaggle/input/deepfake-dataset/dfdc_train_part_49/dfdc_train_part_49/dcjvqpgjgd.mp4
